                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4454,                 1.7356,                  1.813,                0.39091,                0.71814,                0.46577,                0.24227,                 1.7126,                 1.5756,                 2.4987,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.4001,                 1.6683,                 1.7888,                0.44555,                0.84408,                0.51455,                0.29235,                 1.4957,                 1.4545,                 2.2499,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.2824,                 1.6279,                 1.7178,                0.46872,                0.85209,                 0.5131,                0.27054,                  1.484,                 1.4931,                 2.2973,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3215,                 1.5742,                 1.7518,                0.44742,                0.82684,                0.45517,                0.24025,                 1.6724,                 1.4399,                  2.521,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3168,                 1.5433,                 1.7627,                0.44353,                0.87856,                0.48875,                 0.2523,                 1.5789,                 1.4654,                 2.3902,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.3892,                 1.6973,                 1.7975,                0.43176,                0.71364,                0.43173,                0.23868,                 1.6513,                 1.5899,                 2.4448,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.4175,                 1.6698,                 1.7946,                0.43967,                0.75712,                0.44999,                0.24405,                 1.7247,                 1.4515,                 2.5354,              0.0010234,              0.0010234,              0.0010234
                     42,                  1.354,                 1.6544,                 1.7474,                0.44447,                0.81784,                0.47562,                0.24664,                 1.5634,                 1.5248,                 2.3578,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.3554,                 1.6763,                 1.7569,                0.39849,                0.79235,                0.44404,                0.22488,                 1.5282,                 1.6207,                 2.2823,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3463,                 1.6621,                 1.7537,                0.43406,                0.78437,                0.46356,                0.24922,                 1.4478,                 1.5084,                 2.2262,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2452,                 1.5404,                 1.6811,                0.42157,                 0.7331,                0.48876,                0.26728,                  1.424,                 1.4801,                 2.2475,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3306,                 1.5546,                 1.7858,                0.40259,                0.77886,                0.48684,                0.28851,                 1.5321,                 1.4878,                 2.3167,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.3477,                 1.6235,                 1.7751,                0.40174,                0.77185,                0.47955,                0.25555,                 1.6232,                  1.598,                 2.3544,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2803,                 1.5586,                 1.6735,                 0.4089,                0.77296,                0.48154,                0.25599,                 1.5474,                 1.5843,                 2.2694,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2837,                   1.56,                 1.6879,                0.41872,                0.75787,                0.41909,                0.22636,                 1.5478,                 1.6841,                 2.2565,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.3091,                 1.6242,                 1.7078,                0.40373,                 0.8051,                0.45008,                0.25695,                  1.517,                 1.5579,                 2.2931,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.3025,                 1.5709,                  1.698,                0.42991,                0.84721,                0.49358,                0.26762,                 1.5544,                 1.3639,                 2.3386,             0.00085834,             0.00085834,             0.00085834
                     52,                  1.321,                 1.6041,                 1.7182,                0.42586,                0.86948,                0.49683,                0.28299,                 1.4803,                 1.3668,                 2.2273,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2124,                 1.4724,                 1.6658,                0.43914,                0.86874,                0.49813,                0.26469,                 1.4468,                 1.3707,                 2.1967,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.3335,                 1.6321,                  1.788,                 0.4898,                0.86582,                0.55071,                0.30511,                 1.4579,                 1.3196,                 2.1609,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2991,                 1.5165,                 1.7102,                0.45652,                 0.8051,                0.49676,                0.28171,                 1.4609,                 1.4223,                 2.1878,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2118,                 1.4394,                 1.6548,                0.43884,                 0.8051,                0.48803,                0.27536,                 1.4689,                  1.364,                 2.2504,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2821,                 1.6038,                 1.7035,                0.40946,                0.77061,                 0.4562,                0.26792,                  1.426,                 1.4043,                 2.1995,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.2971,                 1.6024,                   1.71,                0.41844,                0.81768,                0.46578,                0.25681,                  1.356,                 1.4502,                  2.123,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2725,                 1.6277,                 1.6992,                0.45715,                0.81334,                0.51203,                0.27691,                 1.4919,                  1.456,                 2.2024,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.3025,                 1.5437,                 1.7234,                0.48529,                 0.7961,                0.50835,                0.25267,                 1.6071,                 1.4513,                 2.3253,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.2713,                 1.4952,                 1.7045,                0.46262,                0.84408,                0.51134,                0.27376,                 1.5755,                 1.4125,                 2.2397,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.3103,                 1.5435,                 1.7008,                0.44482,                0.78745,                0.49544,                0.27333,                 1.5702,                 1.4797,                 2.2805,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1934,                 1.4296,                 1.6446,                0.40585,                0.86132,                 0.4973,                0.27091,                   1.49,                 1.4447,                 2.2178,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.2011,                 1.4819,                 1.5819,                0.43275,                0.82598,                0.51151,                0.28415,                 1.5201,                  1.366,                 2.2431,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.2618,                 1.5367,                 1.6704,                0.43845,                0.88306,                0.53029,                0.29253,                 1.6282,                 1.3501,                  2.328,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1725,                 1.4341,                 1.6623,                   0.44,                0.86582,                0.52953,                0.29359,                 1.6053,                 1.3471,                 2.3069,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.2632,                 1.4324,                 1.6668,                0.43332,                0.87056,                0.52416,                0.28078,                 1.5751,                 1.3574,                 2.3197,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.2366,                 1.5105,                 1.6799,                 0.4412,                 0.9003,                0.54205,                0.29039,                 1.5318,                 1.3581,                 2.2408,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1649,                  1.407,                 1.6297,                0.43729,                0.85475,                0.55382,                0.29253,                 1.5321,                 1.3335,                 2.2292,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.2479,                 1.5541,                  1.676,                0.45476,                0.90895,                0.55843,                0.28289,                 1.5539,                 1.2617,                 2.3017,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1637,                 1.4617,                  1.623,                  0.478,                0.75337,                0.56507,                0.30503,                 1.4739,                 1.2362,                 2.1961,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1493,                 1.3831,                 1.5812,                0.54185,                0.77061,                0.55705,                0.31483,                 1.4736,                 1.2689,                 2.1782,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1508,                 1.4455,                  1.611,                0.55216,                0.81279,                0.53639,                0.31377,                 1.4378,                  1.238,                 2.1484,             0.00049527,             0.00049527,             0.00049527
